authority-code,name,corporate_body_classification
ICMPD,International Centre for Migration Policy Development,CB_INT
ITLOS,International Tribunal for the Law of the Sea,CB_INT
IWC,International Whaling Commission,CB_INT
PCA,Permanent Court of Arbitration,CB_INT
COR_CIVEX,"Commission for Citizenship, Governance, Institutional and External Affairs",COR_COM
COR_COTER,Commission for Territorial Cohesion Policy and EU Budget,COR_COM
COR_ECON,Commission for Economic Policy,COR_COM
COR_ENVE,"Commission for the Environment, Climate Change and Energy",COR_COM
COR_NAT,Commission for Natural Resources,COR_COM
COR_SEDEC,"Commission for Social Policy, Education, Employment, Research and Culture",COR_COM
COR_GROUP_ALDE,Alliance of Liberals and Democrats for Europe,COR_GROUP
COR_GROUP_EA,European Alliance,COR_GROUP
COR_GROUP_ECR,European Conservatives and Reformists Group,COR_GROUP
COR_GROUP_EPP,European People’s Party,COR_GROUP
COR_GROUP_NI,Non-attached (NI),COR_GROUP
COR_GROUP_PES,Party of European Socialists,COR_GROUP
MPC,Migration Policy Centre,CB_EU
CBRN_COE,CBRN Centres of Excellence,CB_EU
OAMI,European Union Intellectual Property Office,AGENCY_DEC
WIPO,World Intellectual Property Organisation,CB_INT
BOIP,Benelux Office for Intellectual Property,CB_INT
NGO,Non-governmental organisation,CB_INT
AI,Amnesty International,CB_INT
CEMR,Council of European Municipalities and Regions,CB_INT
IATA,International Air Transport Association,CB_INT
IFLA,International Federation of Library Associations and Institutions,CB_INT
ISSA,International Social Security Association,CB_INT
ITUC,International Trade Union Confederation,CB_INT
ISO,ISO,CB_INT
UNSAG,United Nations specialized agency,CB_INT
UNREGICOM,United Nations regional commission,CB_INT
UNTECCOM,United Nations technical commission,CB_INT
UNSB,United Nations subsidiary body,CB_INT
UNCOM,United Nations commission,CB_INT
UNECA,United Nations Economic Commission for Africa,CB_INT
UNECLAC,United Nations Economic Commission for Latin America and the Caribbean,CB_INT
UNESCAP,United Nations Economic and Social Commission for Asia and the Pacific,CB_INT
UNESCWA,United Nations Economic and Social Commission for Western Asia,CB_INT
UNCSOCD,United Nations Commission for Social Development,CB_INT
UNCCPCJ,United Nations Commission on Crime Prevention and Criminal Justice,CB_INT
UNHRCOU,United Nations Human Rights Council,CB_INT
UNCHRC,United Nations Human Rights Committee,CB_INT
UNCND,United Nations Commission on Narcotic Drugs,CB_INT
UNCOMPD,United Nations Commission on Population and Development,CB_INT
UNCSTD,United Nations Commission on Science and Technology for Development,CB_INT
UNHLPF,United Nations High-level Political Forum on Sustainable Development,CB_INT
UNCSW,United Nations Commission on the Status of Women,CB_INT
UNFF,United Nations Forum on Forests,CB_INT
UNSCOM,United Nations Statistical Commission,CB_INT
ICJ,International Court of Justice,CB_INT
UNGA,General Assembly of the United Nations,CB_INT
UNSEC,United Nations Secretariat,CB_INT
UNTC,United Nations Trusteeship Council,CB_INT
OHCHR,Office of the High Commissioner for Human Rights,CB_INT
UNCTAD,United Nations Conference on Trade and Development,CB_INT
EESC_CCMI,Consultative Commission on Industrial Change,CB_EU
UNDP,United Nations Development Programme,CB_INT
IPCC,Intergovernmental Panel on Climate Change,CB_INT
UNODC,United Nations Office on Drugs and Crime,CB_INT
UNFPA,United Nations Population Fund,CB_INT
UNCRD,United Nations Centre for Regional Development,CB_INT
UNIDIR,United Nations Institute for Disarmament Research,CB_INT
UNITAR,United Nations Institute for Training and Research,CB_INT
UNWOMEN,UN Women,CB_INT
UNICRI,United Nations Interregional Crime and Justice Research Institute,CB_INT
UNRISD,United Nations Research Institute for Social Development,CB_INT
UNAIDS,UNAIDS,CB_INT
ICGEB,International Centre for Genetic Engineering and Biotechnology,CB_INT
IFAD,International Fund for Agricultural Development,CB_INT
ILC,International Labour Conference,CB_INT
ILOFF,International Labour Office,CB_INT
IMO,International Maritime Organisation,CB_INT
IMF,International Monetary Fund,CB_INT
INCB,International Narcotics Control Board,CB_INT
ITU,International Telecommunication Union,CB_INT
IBE,International Bureau of Education,CB_INT
IIEP,International Institute for Educational Planning,CB_INT
UNISIST,World Scientific and Technical Information System,CB_INT
UNIDO,United Nations Industrial Development Organization,CB_INT
UPU,Universal Postal Union,CB_INT
IBRD,International Bank for Reconstruction and Development,CB_INT
ICSID,International Centre for Settlement of Investment Disputes,CB_INT
IFC,International Finance Corporation,CB_INT
MIGA,Multilateral Investment Guarantee Agency,CB_INT
WMO,World Meteorological Organization,CB_INT
UNWTO,World Tourism Organization,CB_INT
ITC,International Trade Centre,CB_INT
BLEU,Belgo-Luxembourg Economic Union,CB_INT
BEUC,European Consumer Organisation,CB_INT
EUROCORPS,Eurocorps,CB_INT
CBSS,Council of the Baltic Sea States,CB_INT
EFI,European Forest Institute,CB_INT
NORDENCOU,Nordic Council,CB_INT
EBUNION,European Barge Union,CB_INT
EBU,European Broadcasting Union,CB_INT
BSSE,BusinessEurope,CB_INT
CEFTA,Central European Free Trade Agreement,CB_INT
EUTELSAT,Eutelsat,CB_INT
ETUI,European Trade Union Institute,CB_EU
ETUC,European Trade Union Confederation,CB_INT
CEN,European Committee for Standardization,CB_INT
CENELEC,European Committee for Electrotechnical Standardisation,CB_INT
ETSI,European Telecommunications Standards Institute,CB_INT
ELEC,European League for Economic Cooperation,CB_INT
ECAC,European Civil Aviation Conference,CB_INT
CEEP,European Centre of Employers and Enterprises providing Public Services,CB_INT
EAES,European Atomic Energy Society,CB_EU
EANPC,European Association of National Productivity Centres,CB_INT
EADI,European Association of Development Research and Training Institutes,CB_INT
ECPRD,European Centre for Parliamentary Research and Documentation,CB_INT
CEPT,European Conference of Postal and Telecommunications Administrations,CB_INT
COU_EUR_CLRAE,Congress of Local and Regional Authorities of Europe,CB_INT
COU_EUR_CDCPP,"Steering Committee for Culture, Heritage and Landscape",CB_INT
COU_EUR_CDPPE,Steering Committee for Education Policy and Practice,CB_INT
COU_EUR_EYF,European Youth Foundation,CB_INT
EESC_NAT,"Section for Agriculture, Rural Development and the Environment",CB_EU
EESC_ECO,Section for Economic and Monetary Union and Economic and Social Cohesion,CB_EU
EESC_SOC,"Section for Employment, Social Affairs and Citizenship",CB_EU
EESC_REX,Section for External Relations,CB_EU
EESC_INT,"Section for the Single Market, Production and Consumption",CB_EU
EESC_TEN,"Section for Transport, Energy, Infrastructure and the Information Society",CB_EU
EFB,European Fiscal Board,CB_EU
CEPOL,European Union Agency for Law Enforcement Training,AGENCY_DEC
ECHO,Directorate-General for European Civil Protection and Humanitarian Aid Operations (ECHO),DIR_GEN
ERA,European Union Agency for Railways,AGENCY_DEC
RSB,Regulatory Scrutiny Board,CB_EU
EEAS_EUMS,European Union military staff,CB_EU
EEAS_DEL,EU Delegations and Offices,CB_EU
CC,Creative Commons,CB_INT
ODC,Open Data Commons,CB_INT
FSF,Free Software Foundation,CB_INT
FVO,Directorate for Health and Food Audits and Analysis,DIR
EVHAC,European Voluntary Humanitarian Aid Corps,CB_EU
EURASHE,European Association of Institutions in Higher Education,CB_INT
FRONTEX,Frontex,AGENCY_DEC
LRC,Library and e-Resources Centre,SERV_DEP
EPC,Economic Policy Committee,CB_EU
ACSH,Advisory Committee on Safety and Health at Work,CB_EU
EAC,"Directorate-General for Education, Youth, Sport and Culture",DIR_GEN
AEPPEPF,Authority for European Political Parties and European Political Foundations,CB_EU
EESC_SG,Secretariat-General of the European Economic and Social Committee,CB_EU
EP_GROUP_SEC,Political groups’ secretariats,EP_GROUP
REPRES_DEU,Representation in Germany,REPRES
REPRES_SPA,Representation in Spain,REPRES
REPRES_FRA,Representation in France,REPRES
REPRES_ITA,Representation in Italy,REPRES
REPRES_POL,Representation in Poland,REPRES
COR,European Committee of the Regions,EU_BODY
REPRES_PERM,Permanent representations,CB_EU
DEL_SSD,Delegation to South Sudan,DEL
DEL_LBY,Delegation to Libya,DEL
DEL_CRI,Delegation to Costa Rica,DEL
COM_COLL,College of Commissioners,CB_EU
EUROPOL,Europol,AGENCY_DEC
EEAS_BA,Directorate-General for Budget and Administration,CB_EU
EEAS_POL,Service of Deputy Secretary General for political affairs,CB_EU
EEAS_ECO,Service of Deputy Secretary General for economic and global issues,CB_EU
EEAS_CSDP,Service of Deputy Secretary General CSDP and crisis response,CB_EU
ESGAB,European Statistical Governance Advisory Board,CB_EU
WADA,World Anti-Doping Agency,CB_INT
COR_SG,Secretariat-General of the European Committee of the Regions,CB_EU
COR_GROUP,Political groups of the European Committee of the Regions,CB_EU
COR_DIR_MEMBERS_PLENARIES,Directorate for Members and Plenaries,COR_DIR
COR_DIR_LEGISLATIVE_1,Directorate for Legislative Work 1,COR_DIR
COR_DIR_LEGISLATIVE_2,Directorate for Legislative Work 2,COR_DIR
COR_DIR_COMMUNICATION,Directorate for Communication,COR_DIR
COR_DIR_HR_FINANCE,Directorate for Human Resources and Finance,COR_DIR
COR_DIR_LOGISTICS,Directorate for Logistics,COR_DIR
COR_DIR_TRANSLATION,Directorate for Translation,COR_DIR
CERT,"Computer Emergency Response Team for the EU institutions, bodies and agencies",EU_INTERINSTSERV
COUN_ASS_EU_DZA,EU–Algeria Association Council,COUN_ASS
COUN_ASS_EU_CENTR_AMER,EU–Central America Association Council,COUN_ASS
COUN_ASS_EU_CHL,EU–Chile Association Council,COUN_ASS
COUN_ASS_EU_EGY,EU–Egypt Association Council,COUN_ASS
COUN_ASS_EU_GEO,EU–Georgia Association Council,COUN_ASS
COUN_ASS_EU_ISR,EU–Israel Association Council,COUN_ASS
COUN_ASS_EU_JOR,EU–Jordan Association Council,COUN_ASS
COUN_ASS_EU_LBN,EU–Lebanon Association Council,COUN_ASS
COUN_ASS_EU_MDA,EU–Moldova Association Council,COUN_ASS
COUN_ASS_EU_TUN,EU–Tunisia Association Council,COUN_ASS
COUN_ASS_EU_TUR,EU–Turkey Association Council,COUN_ASS
COUN_ASS_EU_UKR,EU–Ukraine Association Council,COUN_ASS
COUN_COOP_EU_ARM,EU–Armenia Cooperation Council,COUN_COOP
COUN_COOP_EU_AZE,EU–Azerbaijan Cooperation Council,COUN_COOP
COUN_COOP_EU_KAZ,EU–Kazakhstan Cooperation Council,COUN_COOP
COUN_COOP_EU_KGZ,EU–Kyrgyzstan Cooperation Council,COUN_COOP
COUN_JOIN_EU_MEX,EU–Mexico Joint Council,COUN_COOP
COUN_COOP_EU_ZAF,EU–South Africa Cooperation Council,COUN_COOP
COUN_COOP_EU_SYR,EU–Syria Cooperation Council,COUN_COOP
COUN_COOP_EU_TJK,EU–Tajikistan Cooperation Council,COUN_COOP
COUN_COOP_EU_UZB,EU–Uzbekistan Cooperation Council,COUN_COOP
COUN_STAB_ASS,Stabilisation and Association Council,CB_EU
COUN_STAB_ASS_EU_ALB,EU–Albania Stabilisation and Association Council,COUN_STAB_ASS
COUN_STAB_ASS_EU_BIH,EU–Bosnia and Herzegovina Stabilisation and Association Council,COUN_STAB_ASS
COUN_STAB_ASS_EU_KOSOVO,EU–Kosovo Stabilisation and Association Council,COUN_STAB_ASS
COUN_STAB_ASS_EU_MNE,EU–Montenegro Stabilisation and Association Council,COUN_STAB_ASS
COUN_STAB_ASS_EU_SRB,EU–Serbia Stabilisation and Association Council,COUN_STAB_ASS
GOVREP_BEL,Representatives of the Governments of the Kingdom of Belgium,CB_EU
GOVREP_BGR,Representatives of the Government of the Republic of Bulgaria,CB_EU
GOVREP_CZE,Representatives of the Government of the Czech Republic,CB_EU
GOVREP_DNK,Representatives of the Government of the Kingdom of Denmark,CB_EU
GOVREP_DEU,Representatives of the Government of the Federal Republic of Germany,CB_EU
GOVREP_EST,Representatives of the Government of the Republic of Estonia,CB_EU
GOVREP_IRL,Representatives of the Government of Ireland,CB_EU
GOVREP_GRC,Representatives of the Government of the Hellenic Republic,CB_EU
GOVREP_ESP,Representatives of the Government of the Kingdom of Spain,CB_EU
GOVREP_FRA,Representatives of the Government of the French Republic,CB_EU
GOVREP_HRV,Representatives of the Government of the Republic of Croatia,CB_EU
GOVREP_ITA,Representatives of the Government of the Italian Republic,CB_EU
GOVREP_CYP,Representatives of the Government of the Republic of Cyprus,CB_EU
GOVREP_LVA,Representatives of the Government of the Republic of Latvia,CB_EU
GOVREP_LTU,Representatives of the Government of the Republic of Lithuania,CB_EU
GOVREP_LUX,Representatives of the Government of the Grand Duchy of Luxembourg,CB_EU
GOVREP_HUN,Representatives of the Government of Hungary,CB_EU
GOVREP_MLT,Representatives of the Government of the Republic of Malta,CB_EU
GOVREP_NLD,Representatives of the Government of the Kingdom of the Netherlands,CB_EU
GOVREP_AUT,Representatives of the Government of the Republic of Austria,CB_EU
GOVREP_POL,Representatives of the Government of the Republic of Poland,CB_EU
GOVREP_PRT,Representatives of the Government of the Portuguese Republic,CB_EU
GOVREP_ROU,Representatives of the Government of Romania,CB_EU
GOVREP_SVN,Representatives of the Government of the Republic of Slovenia,CB_EU
GOVREP_SVK,Representatives of the Government of the Slovak Republic,CB_EU
GOVREP_FIN,Representatives of the Government of the Republic of Finland,CB_EU
GOVREP_SWE,Representatives of the Government of the Kingdom of Sweden,CB_EU
ELEN,European Language Equality Network,CB_INT
ECML,European Centre for Modern Languages of the Council of Europe,CB_INT
MERCATOR,Mercator Network,CB_INT
CONSIL_PRES,Presidency of the Council of the EU,CB_EU
EDPB,European Data Protection Board,CB_EU
DEL_MUS_SYC,Delegation to Mauritius and to the Seychelles,DEL
DEL_MDG_COM,Delegation to Madagascar and to the Comoros,DEL
DEL_BWA_SADC,Delegation to Botswana and SADC,DEL
DEL_DJI_IGAD,Delegation to Djibouti and IGAD,DEL
IGAD,Intergovernmental Authority on Development,CB_INT
DEL_GAB_STP_GNQ_ECCAS,"Delegation to Gabon, Equatorial Guinea, São Tomé-et-Principe and CEEAC",DEL
DEL_SOM,Delegation to Somalia,DEL
DEL_ZMB_CMESA,Delegation to Zambia and COMESA,DEL
STECF,"Scientific, Technical and Economic Committee for Fisheries",CB_EU
EP_OFF_AUT,Liaison Office in Austria,LIA_OFF
EP_OFF_BEL,Liaison Office in Belgium,LIA_OFF
EP_OFF_BGR,Liaison Office in Bulgaria,LIA_OFF
EP_OFF_CYP,Liaison Office in Cyprus,LIA_OFF
EP_OFF_DEU_BER,Liaison Office in Germany – Berlin,LIA_OFF
EP_OFF_DEU_MUC,Liaison Office in Germany – Munich,LIA_OFF
EP_OFF_DAN,Liaison Office in Denmark,LIA_OFF
EP_OFF_EST,Liaison Office in Estonia,LIA_OFF
EP_OFF_SPA_MAD,Liaison Office in Spain – Madrid,LIA_OFF
EP_OFF_SPA_BCN,Liaison Office in Spain – Barcelona,LIA_OFF
EP_OFF_FIN,Liaison Office in Finland,LIA_OFF
EP_OFF_FRA_PAR,Liaison Office in France – Paris,LIA_OFF
EP_OFF_FRA_MRS,Liaison Office in France – Marseille,LIA_OFF
EP_OFF_FRA_SXB,Liaison Office in Strasbourg,LIA_OFF
EP_OFF_GRC,Liaison Office in Greece,LIA_OFF
EP_OFF_HUN,Liaison Office in Hungary,LIA_OFF
EP_OFF_IRL,Liaison Office in Ireland,LIA_OFF
EP_OFF_ITA_ROM,Liaison Office in Italy – Rome,LIA_OFF
EP_OFF_ITA_MIL,Liaison Office in Italy – Milan,LIA_OFF
EP_OFF_LVA,Liaison Office in Latvia,LIA_OFF
EP_OFF_LIT,Liaison Office in Lithuania,LIA_OFF
EP_OFF_LUX,Liaison Office in Luxembourg,LIA_OFF
EP_OFF_MLT,Liaison Office in Malta,LIA_OFF
EP_OFF_NLD,Liaison Office in the Netherlands,LIA_OFF
EP_OFF_POL_WAW,Liaison Office in Poland – Warsaw,LIA_OFF
EP_OFF_POL_WRO,Liaison Office in Poland – Wrocław,LIA_OFF
EP_OFF_PRT,Liaison Office in Portugal,LIA_OFF
EP_OFF_ROU,Liaison Office in Romania,LIA_OFF
EP_OFF_SVK,Liaison Office in Slovakia,LIA_OFF
EP_OFF_SVN,Liaison Office in Slovenia,LIA_OFF
EP_OFF_SWE,Liaison Office in Sweden,LIA_OFF
EP_OFF_GBR_LON,Liaison Office in the United Kingdom – London,LIA_OFF
EP_OFF_GBR_EDI,Liaison Office in the United Kingdom – Edinburgh,LIA_OFF
EP_OFF_USA,EP-US Congress Liaison Office in Washington,LIA_OFF
EP_OFF_HRV,Liaison Office in Croatia,LIA_OFF
EP_OFF_DEU,Liaison Office in Germany,LIA_OFF
EP_OFF_SPA,Liaison Office in Spain,LIA_OFF
EP_OFF_FRA,Liaison Office in France,LIA_OFF
EP_OFF_ITA,Liaison Office in Italy,LIA_OFF
EP_OFF_POL,Liaison Office in Poland,LIA_OFF
EP_OFF_GBR,Liaison Office in the United Kingdom,LIA_OFF
EIB_SG,General Secretariat of the EIB,CB_EU
OMB_SG,Secretariat-General of the European Ombudsman,CB_EU
EVS,European Voluntary Service,CB_INT
PACIFIC_AL,Pacific Alliance,CB_INT
HAS,Historical Archives Service,SERV_DEP
SRSS,Structural Reform Support Service,SERV_DEP
DPO,Data Protection Officer,SERV_DEP
EEAS_SG,Secretariat-General of the EEAS,CB_EU
EUROHPC,European High-Performance Computing Joint Undertaking,EU_JU
REPRES_CZE,Representation in Czechia,REPRES
EP_OFF_CZE,Liaison Office in Czechia,LIA_OFF
CORDIS,CORDIS,CB_EU
EASA,European Union Aviation Safety Agency,AGENCY_DEC
ESI,European Stability Initiative,CB_INT
LIMA_GROUP,Lima Group,CB_INT
BEREC,Body of European Regulators for Electronic Communications,CB_EU
BEREC_OFFICE,Agency for Support for BEREC,AGENCY_DEC
DEL_MKD,Delegation to North Macedonia,DEL
COUN_STAB_ASS_EU_MKD,EU–North Macedonia Stabilisation and Association Council,COUN_STAB_ASS
EP_INTERPRET,Directorate-General for Logistics and Interpretation for Conferences,EP_DIR_GEN
SAM_ADV,Group of Chief Scientific Advisors,CB_EU
DEL_TKM,Delegation to Turkmenistan,DEL
DEL_SWZ,Delegation to Eswatini,DEL
DEL_PAN,Delegation to Panama,DEL
DEL_NIC_SICA,Delegation to Nicaragua and to the Central American Integration System (SICA),DEL
ACER,European Union Agency for the Cooperation of Energy Regulators,AGENCY_DEC
ENISA,European Union Agency for Cybersecurity,AGENCY_DEC
ELA,European Labour Authority,AGENCY_DEC
EEAREA_COUN,EEA Council,CB_INT
EEAREA_JPC,EEA Joint Parliamentary Committee,CB_INT
EEAREA_CC,EEA Consultative Committee,CB_INT
EFTA_PC,EFTA Parliamentary Committee,CB_INT
EFTA_CC,EFTA Consultative Committee,CB_INT
EFTA_COUN,EFTA Council,CB_INT
EFTA_BOA,EFTA Board of Auditors,CB_INT
EFTA_STAT,EFTA Statistical Office,CB_INT
INTCEN,EU Intelligence and Situation Centre,CB_EU
EP_GROUP_ALDE,Renew Europe Group,EP_GROUP
EP_GROUP_ID,Identity and Democracy Group,EP_GROUP
EP_GROUP_EPP,Group of the European People’s Party,EP_GROUP
DEL_PSE_UNRWA,"Delegation to West Bank and Gaza Strip, UNRWA",DEL
DEL_BRB_OECS_CARIFORUM_CARICOM,"Delegation to Barbados, the Eastern Caribbean States, the OECS and CARICOM/CARIFORUM",DEL
DEL_ASEAN,EU Mission to ASEAN,DEL
DEL_IDN_BRN,Delegation to Indonesia and Brunei Darussalam,DEL
DEL_BHR_OMN_SAU,"Delegation to Bahrain, Oman, and Saudi Arabia",DEL
DEL_GUY_SUR,"Delegation to Guyana, for Suriname, and with responsibility for Aruba, Bonaire, Curaçao, Saba, Saint Barthélemy, Sint Eustatius and Sint Maarten",DEL
DEL_VAT_SMR,"Delegation to the Holy See, Order of Malta, UN Organisations in Rome, and to San Marino",DEL
DEL_KWT,Delegation to Kuwait,DEL
UKTF,UK Task Force,SERV_DEP
EUROJUST,European Union Agency for Criminal Justice Cooperation,AGENCY_DEC
DEFIS,Directorate-General for Defence Industry and Space,DIR_GEN
REFORM,Directorate-General for Structural Reform Support,DIR_GEN
IDEA,"IDEA – Inspire, Debate, Engage and Accelerate Action",SERV_DEP
BANK_NONEURO8,"National banks outside the Eurosystem: Българска народна банка, Česká národní banka, Danmarks Nationalbank, Hrvatska narodna banka, Magyar Nemzeti Bank, Narodowy Bank Polski, Banca Națională a României, Sveriges Riksbank",CB_EU
EUMS_NONEURO8,"Non-euro area Member States: Bulgaria, Czechia, Denmark, Croatia, Hungary, Poland, Romania, Sweden",CB_EU
EUMS27_1,"The twenty-seven Member States: Belgium, Bulgaria, Czechia, Denmark, Germany, Estonia, Ireland, Greece, Spain, France, Croatia, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Hungary, Malta, Netherlands, Austria, Poland, Portugal, Romania, Slovenia, Slovakia, Finland, Sweden",CB_EU
DEL_GBR,Delegation to the United Kingdom,DEL
COM_PRES,President of the European Commission,CB_EU
ERCOU,European Research Council,CB_EU
SC_OLAF,Supervisory Committee of OLAF,CB_EU
INTPA,Directorate-General for International Partnerships,DIR_GEN
EP_INGE,"Special Committee on Foreign Interference in all Democratic Processes in the European Union, including Disinformation",EP_CMT
EP_AIDA,Special Committee on Artificial Intelligence in a Digital Age,EP_CMT
EP_BECA,Special Committee on Beating Cancer,EP_CMT
EP_ANIT,Committee of Inquiry on the Protection of Animals during Transport,EP_CMT
EP_FISC,Subcommittee on Tax Matters,EP_CMT
